decade,anger,contempt,disgust,fear,frustration,gratitude,joy,love,neutral,sadness,surprise,count,language
1810,0.041571632271408455,0.11024682885915492,0.005904963882535212,0.026071630912957746,0.007305654644788733,0.03848833327028169,0.029790577367323948,0.03402245464056338,0.8196278428732394,0.013221331984084508,0.013832266865774647,71,Hindi
1820,0.029454917345360824,0.04338025451515464,0.01999980753350515,0.023561657330103094,0.01921328439742268,0.014744015274536084,0.03316687107443299,0.007528786258865979,0.863546141528866,0.012711256862474226,0.07586694894639176,97,Hindi
1830,0.044782529133,0.0352656858328,0.0321827682304,0.0180512061064,0.0041211634359,0.0382430289963,0.0223496075264,0.0058613540382999995,0.8423752029649999,0.0083948155778,0.040792537179000006,100,Hindi
1840,0.06542060943921568,0.03142492145294117,0.010589337345882353,0.03451285233215686,0.004946173174117646,0.012443757236862744,0.03849916741588235,0.004227679367843137,0.8055204662843137,0.021638873518235294,0.06656143919803921,51,Hindi
1850,0.04600132739589041,0.034551843132328765,0.015284782003835616,0.01973294380369863,0.010660821116575342,0.011884807759863013,0.02270480549671233,0.0063097071591780825,0.8547562176753425,0.008392635695205479,0.05767207178438356,73,Hindi
1860,0.029725331267692306,0.06236007516584616,0.031925534990461545,0.024313889163384617,0.01388855623,0.04052765185898462,0.03500519077123077,0.03786563024046154,0.7447676035646154,0.004564186183384615,0.03655064157846154,65,Hindi
1870,0.005640303710000001,0.04016354055,0.00265836351,0.0015004296650000001,0.00549215598,0.002741350014,0.01234379726,0.003113770364,0.9774131220000001,0.00532996122,0.01107037805,10,Hindi
1880,0.15519200989326926,0.16847375459495192,0.08462442407990384,0.049573886456442305,0.034480367134375,0.03041151314658654,0.08801653080072115,0.08193142011658654,0.39710940458927885,0.04013307064889423,0.10156243623427885,208,Hindi
1890,0.02602255398494624,0.10845644349677418,0.00546882024655914,0.03537711297483871,0.015870752682365593,0.042274470481182796,0.03736235417344086,0.0706673712816129,0.7216919139870966,0.017820731609784948,0.06939027726344085,93,Hindi
1900,0.20781961006053257,0.12666464105715977,0.055940643374832344,0.08337537334895463,0.04491798817033531,0.026416958050936884,0.08193246912290927,0.1285668975329586,0.26343640294248516,0.05391424474285996,0.15705284100071007,507,Hindi
1910,0.029475222812827585,0.08658294791675862,0.009406622982344829,0.0034202740320689656,0.0055558875375172415,0.042084904407793104,0.03818001562889656,0.08846280983468965,0.7643932091701379,0.006270862358413793,0.03996931220910344,145,Hindi
1920,0.028299134235227272,0.05040716180852272,0.019727232317840907,0.004539716716704546,0.010864088919659091,0.008405205850795454,0.0193057518,0.02483796835159091,0.8724933519318182,0.038624556667613635,0.03545048355545454,88,Hindi
1930,0.17342426955157478,0.12837043071065574,0.048470359695079485,0.08425580300789866,0.02969051885891704,0.04951616929564232,0.061170208719662195,0.13396865113372577,0.29653555120295577,0.041923382406512666,0.0764732690936016,2013,Hindi
